R,R2,MAE,MSE,RMSE,EVS,Error_Variance,Model,Session,N_Windows
-0.2135097626686021,-0.9043946690821791,0.3518276155296061,0.1590320657207587,0.3987882467184291,-0.7620893555929791,0.14748060641852234,Random Forest,22,444
0.46993945202965814,-0.0018865956679234852,0.2294032855769378,0.08400905465842859,0.28984315527268983,0.14915473325725326,0.07161641479229035,Extra Trees,18,263
-0.20175975918933775,-0.3660724064245682,0.30864265928104423,0.11545173207362361,0.33978188897235767,-0.35349913730954574,0.11497273747016319,Extra Trees,19,197
0.316450170292858,-0.5688990515312442,0.2928558888490912,0.13236359048552085,0.36381807333545274,0.05445417104972561,0.08005692604469365,Extra Trees,20,282
-0.3822202381966626,-0.8098712580299743,0.3578467253975639,0.1517078403147677,0.3894969066818987,-0.7372184306937721,0.14594587068585538,Extra Trees,21,445
-0.1265639474581593,-0.8143478661771488,0.33595308920709194,0.15151244318136217,0.38924599314747244,-0.544656503535982,0.12928225071374963,Extra Trees,22,444
0.46644064267630525,0.21461634566030796,0.22194105461456626,0.06585509640566994,0.25662247837177077,0.21577837698316615,0.06600864250918807,Gradient Boosting,18,263
0.45274013188857387,-0.0016893866944969194,0.2562445327876025,0.08465640192259545,0.2909577321924878,0.19202536652108892,0.06863325794368574,Gradient Boosting,19,197
0.18306428276802594,-0.6353170339825613,0.2963692850562316,0.13796708844256295,0.37143921231146687,-0.10782578342529026,0.09379675114483253,Gradient Boosting,20,282
-0.39247925355913743,-1.1396819826621454,0.39473060097173834,0.17935338279443427,0.42350133741752727,-0.932208558407305,0.16232723267320937,Gradient Boosting,21,445
-0.2698520139493688,-1.2571423613338353,0.3722246887705627,0.18848929698052055,0.4341535407900304,-0.850611444098617,0.1548895901075772,Gradient Boosting,22,444
0.5491833592621372,-0.07904828485627124,0.22382087553183258,0.09047912880912533,0.3007974880365947,0.23356794228281208,0.06451127872605125,HistGradientBoosting,18,263
0.19188145424471986,-0.08122607306180885,0.25753139717288887,0.09137833566587085,0.30228849740913205,0.003830538120576099,0.08461943333345706,HistGradientBoosting,19,197
0.015536545971119392,-1.1043684233402153,0.3254238114628228,0.1775396319768368,0.4213545205368477,-0.2824749361350585,0.1085838443497983,HistGradientBoosting,20,282
-0.34774171742985527,-1.3616746872908498,0.41217572259200813,0.19796135484517174,0.4449284828432225,-1.116227160672723,0.17778686322714904,HistGradientBoosting,21,445
-0.11601288870495091,-1.0001557856174395,0.34740916054270327,0.16702887878979988,0.40869166714015576,-0.5847931146286773,0.13264154218483573,HistGradientBoosting,22,444
0.5018990593323157,-0.2269914487944802,0.245364531637295,0.10288429063019965,0.3207558115298921,0.14296581137297948,0.07213734193863039,XGBoost,18,263
0.30051024730013515,-0.1359252017237782,0.2629748016946004,0.0960011573532446,0.30984053536173184,0.08342410788579391,0.0778583720599938,XGBoost,19,197
0.0776223413607761,-1.1578450767458932,0.3403387009179801,0.1820513064819726,0.4266747080411172,-0.2608377643697877,0.10675188083539977,XGBoost,20,282
-0.3244635350967738,-0.9600380721949815,0.3734563091749214,0.16429519036126752,0.40533343109256054,-0.8413047499078536,0.1546902912007347,XGBoost,21,445
-0.20483120114639958,-1.1513422966133198,0.3647044320427229,0.1796541520816942,0.42385628706165746,-0.8129973028107329,0.15174142037972457,XGBoost,22,444
