timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint,session_id,hour,dayofweek,minute,is_active,utilization,T_Hotend_Actual_Smooth,Power_Hotend_Smooth,hotend_zscore,power_zscore,session_elapsed_seconds,session_elapsed_hours
2023-11-28 09:41:35.269000+00:00,42.0,45.3,90.0,127.0,89.6,4380.0,2940.0,255.0,76.0,243.0,93.0,242.8,242.8,243.0,1.0,117.644,159.712,1.0,259018.3015195836,2400.0,16,9,1,41,1,1.0,242.8,93.0,0.2088850189292362,0.6928833812497517,8146.635,2.262954166666667
2023-10-09 11:16:24.135000+00:00,41.5,37.1,60.0,36.0,60.0,4320.0,3060.0,255.0,84.0,210.0,87.0,209.8,209.8,210.0,1.0,123.094,155.465,0.35,81763.46731994345,2100.0,6,11,0,16,1,1.0,209.8,87.0,0.2262961856691974,-0.3513864411010117,6861.277,1.9059102777777777
2023-11-28 08:08:52.505000+00:00,40.8,45.9,90.0,28.0,90.2,4320.0,0.0,255.0,38.0,243.0,61.0,243.6,243.6,243.0,1.0,204.591,160.959,0.8,256135.9543996153,2400.0,16,8,1,8,1,1.0,243.6,61.0,0.2286680959970465,-0.496129812705699,2583.871,0.7177419444444445
2023-11-27 11:22:10.156000+00:00,42.5,43.1,90.0,77.0,90.0,4380.0,2760.0,255.0,76.0,243.0,88.0,243.1,243.1,243.0,1.0,104.964,59.881,2.4,244238.4998897352,2100.0,15,11,0,22,1,1.0,243.34,84.0,0.1042937901237728,0.2499847572753743,9470.828,2.6307855555555557
2023-03-28 10:46:10.996000+00:00,39.1,32.1,60.0,23.0,60.2,4260.0,4740.0,255.0,255.0,215.0,105.0,214.9,214.9,215.0,1.0,148.52,104.272,17.6,3077.8770600003063,8640.0,0,10,1,46,1,1.0,214.9,105.0,0.0294615405312283,-0.5682795728365526,7792.912,2.164697777777778
2023-03-29 12:43:18.668000+00:00,39.0,32.7,60.0,70.0,59.7,4200.0,4680.0,255.0,255.0,215.0,118.0,214.9,214.9,215.0,1.0,150.381,114.251,11.8,12750.622069998126,2100.0,1,12,2,43,1,1.0,214.9,118.0,0.0655116693575578,0.4087431108860847,3347.795,0.9299430555555556
2023-10-09 11:27:31.951000+00:00,43.4,35.5,60.0,23.0,60.1,4320.0,4500.0,255.0,255.0,210.0,112.0,210.3,210.3,210.0,1.0,122.241,78.358,0.8,82205.7014299285,12000.0,6,11,0,27,1,1.0,210.3,112.0,0.2394512586727713,0.3489658321290059,7529.093,2.0914147222222224
2024-01-15 15:24:27.959000+00:00,40.6,29.5,60.0,24.0,60.1,4200.0,4500.0,255.0,255.0,215.0,117.0,215.3,215.3,215.0,1.0,133.042,80.278,5.2,27188.620809992743,3600.0,20,15,0,24,1,1.0,215.3,117.0,0.2756720516498538,0.3003778052432559,13951.919,3.875533055555556
2023-03-30 12:20:37.009000+00:00,40.0,35.9,60.0,22.0,60.0,4260.0,4620.0,255.0,255.0,225.0,117.0,225.1,225.1,225.0,1.0,113.633,113.002,25.8,8239.877749999896,1037.0,2,12,3,20,1,1.0,225.1,117.0,0.2603438028125701,-0.2430768462871057,9256.071,2.571130833333333
2023-11-29 13:11:25.049000+00:00,42.8,47.2,90.0,77.0,90.0,4320.0,2940.0,255.0,76.0,243.0,71.0,243.9,243.9,243.0,1.0,94.923,73.116,19.6,277267.55999074946,2100.0,17,13,2,11,1,1.0,243.9,71.0,0.1630784266148565,-0.6398537996198818,13733.344,3.8148177777777774
2023-11-22 13:56:44.858000+00:00,40.6,37.1,90.0,53.0,90.0,4260.0,2880.0,255.0,76.0,243.0,101.0,243.0,243.0,243.0,1.0,82.656,102.955,55.2,222176.65433977684,5895.652,14,13,2,56,1,1.0,243.36,95.6,0.1333893640218999,0.5101762608755829,19305.867,5.362740833333333
2024-01-15 11:45:18.204000+00:00,31.1,32.0,60.0,54.0,59.9,4200.0,0.0,255.0,0.0,215.0,33.0,214.9,214.9,215.0,1.0,83.144,45.211,0.2,14476.450889995938,1200.0,20,11,0,45,1,1.0,214.9,33.0,0.2653532185700939,-2.02634959308016,802.164,0.2228233333333333
2023-10-12 13:22:53.312000+00:00,47.4,39.0,90.0,54.0,90.0,4320.0,3540.0,255.0,124.0,243.0,92.0,243.8,243.8,243.0,1.0,106.0,65.896,61.85,113051.2343898314,2332.0,8,13,3,22,1,1.0,243.8,92.0,0.1620911985319534,-0.1004076926992518,18626.722,5.174089444444445
2023-10-02 09:04:54.674000+00:00,35.1,33.6,60.0,34.0,60.6,4260.0,0.0,255.0,0.0,219.0,32.0,218.9,218.9,219.0,1.0,75.741,117.77,0.2,63118.94725002611,1200.0,5,9,0,4,1,1.0,218.9,32.0,0.561139925074678,-3.742646819327286,720.797,0.2002213888888889
2023-12-07 11:57:28.817000+00:00,37.2,31.3,60.0,58.0,60.0,4260.0,4140.0,255.0,170.0,210.0,107.0,210.0,210.0,210.0,1.0,127.505,186.154,0.6,287998.55215088214,1500.0,19,11,3,57,1,1.0,210.0,107.0,-0.1211203772040825,1.1062051589015602,10473.175,2.9092152777777778
2023-12-04 13:18:14.400000+00:00,29.3,25.2,0.0,0.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,59.3,59.3,0.0,0.0,0.0,200.0,64.6,281957.8051807748,3000.0,18,13,0,18,1,1.0,59.3,0.0,-0.8757888396947356,-0.9636353361383768,8152.322,2.264533888888889
2023-10-12 09:19:08.200000+00:00,45.5,47.4,90.0,69.0,90.0,4380.0,3000.0,255.0,76.0,243.0,89.0,242.7,242.7,243.0,1.0,115.617,186.378,6.2,101588.9827598882,7657.17,8,9,3,19,1,1.0,242.7,89.0,0.0144614529993693,-0.2703807216904559,4001.61,1.1115583333333334
2023-11-27 12:19:44.200000+00:00,42.8,42.7,90.0,56.0,90.1,4320.0,2940.0,255.0,76.0,243.0,81.0,243.6,243.6,243.0,1.0,51.594,122.49,3.8,246765.1840297051,2100.0,15,12,0,19,1,1.0,243.6,81.0,0.1279111680295653,-0.1308204002436711,12924.872,3.590242222222222
2023-12-07 11:53:25.203000+00:00,35.9,32.3,60.0,26.0,60.1,4200.0,3000.0,255.0,84.0,210.0,84.0,210.1,210.1,210.0,1.0,127.92,174.254,0.4,287749.4316908791,10854.542,19,11,3,53,1,1.0,210.1,84.0,-0.1195129003435022,0.4105156236690868,10229.561,2.8415447222222223
2023-11-28 10:33:03.017000+00:00,42.8,45.7,90.0,58.0,90.0,4440.0,2940.0,255.0,76.0,243.0,86.0,243.3,243.3,243.0,1.0,106.771,132.826,3.4,261003.6304195532,2100.0,16,10,1,33,1,1.0,243.3,86.0,0.2212494420966179,0.4327867450719969,11234.383,3.120661944444445
2023-09-28 12:29:44.675000+00:00,44.4,35.4,60.0,13.0,60.1,4320.0,4500.0,255.0,255.0,210.0,103.0,210.5,210.5,210.0,1.0,142.772,64.894,2.15,63076.70561002573,2100.0,4,12,3,29,1,1.0,210.5,103.0,0.268528539132839,0.1150986299070718,15790.478,4.386243888888889
2023-11-27 11:36:06.761000+00:00,42.5,40.4,90.0,64.0,90.1,4380.0,2880.0,255.0,76.0,243.0,100.0,242.2,242.2,243.0,1.0,180.776,69.835,2.8,244878.1103997281,1500.0,15,11,0,36,1,1.0,242.2,100.0,0.061782509893346,0.9027935987365951,10307.433,2.863175833333333
2023-11-29 11:42:25.017000+00:00,43.0,46.8,90.0,78.0,89.9,4380.0,3120.0,255.0,76.0,243.0,70.0,243.8,243.8,243.0,1.0,187.151,142.549,10.8,273679.2745402042,2100.0,17,11,2,42,1,1.0,243.8,70.0,0.1575935235919332,-0.6971201434518876,8393.312,2.3314755555555555
2023-11-06 12:45:19.200000+00:00,40.4,38.4,60.0,30.0,60.0,4380.0,3120.0,255.0,84.0,215.0,81.0,215.3,215.3,215.0,1.0,43.609,140.335,0.4,134420.006889896,3000.0,10,12,0,45,1,1.0,215.26000000000005,81.8,0.2367662615826486,-0.7276301326604258,11165.157,3.1014325
2023-03-30 11:12:20.774000+00:00,39.8,33.7,60.0,40.0,60.0,4200.0,4200.0,255.0,255.0,225.0,107.0,226.5,226.5,225.0,1.0,144.37,119.999,25.0,7589.666840000295,3600.0,2,11,3,12,1,1.0,226.5,103.4,0.8244693327697693,-1.2379921838168788,5159.836,1.433287777777778
2023-09-28 12:26:07.969000+00:00,44.1,35.5,60.0,38.0,59.9,4320.0,4620.0,255.0,255.0,210.0,103.0,210.6,210.6,210.0,1.0,103.759,138.511,2.0,63019.31720002403,2100.0,4,12,3,26,1,1.0,210.6,103.0,0.2710120351698217,0.1150986299070718,15573.772,4.326047777777778
2023-10-12 12:46:16.600000+00:00,47.8,40.3,90.0,69.0,90.0,4260.0,3600.0,255.0,124.0,243.0,83.0,244.3,244.3,243.0,1.0,152.024,29.688,45.95,111760.88612984198,3156.0,8,12,3,46,1,1.0,244.3,83.0,0.2291956283194902,-0.6103267796728642,16430.01,4.563891666666666
2023-11-27 13:38:12.612000+00:00,42.7,43.9,90.0,56.0,90.1,4380.0,2880.0,255.0,76.0,243.0,85.0,243.4,243.4,243.0,1.0,62.44,61.96,6.0,250067.85405966232,2400.0,15,13,0,38,1,1.0,243.4,85.0,0.1184642168672488,0.0867825469100691,17633.284,4.898134444444445
2023-11-27 13:33:17.320000+00:00,42.5,42.7,90.0,49.0,90.0,4320.0,2940.0,255.0,76.0,243.0,94.0,242.4,242.4,243.0,1.0,183.97,66.696,6.0,249860.0367196642,1500.0,15,13,0,33,1,1.0,242.4,94.0,0.0712294610556638,0.5763891780059848,17337.992,4.8161088888888886
2023-11-29 11:20:56.400000+00:00,42.9,46.2,90.0,66.0,90.0,4440.0,2880.0,255.0,76.0,243.0,101.0,241.6,241.6,243.0,1.0,146.47,38.787,8.8,272808.2663501026,2100.0,17,11,2,20,1,1.0,241.6,101.0,0.0369256570876127,1.078136515340293,7104.695,1.9735263888888888
2024-01-17 13:40:06.022000+00:00,43.7,37.6,60.0,32.0,60.0,4440.0,4080.0,255.0,255.0,215.0,109.0,215.1,215.1,215.0,1.0,116.156,80.6,5.6,31529.56873998798,10800.0,21,13,2,40,1,1.0,215.1,109.0,0.3075974759824503,0.3293930976628851,19399.343,5.388706388888889
2023-10-11 09:35:32.135000+00:00,44.6,36.2,60.0,17.0,60.0,4260.0,4680.0,255.0,255.0,210.0,103.0,210.5,210.5,210.0,1.0,154.32,102.573,23.6,90495.80450984144,8640.0,7,9,2,35,1,1.0,210.5,103.0,0.2111211663277135,-0.0780543411244403,5228.713,1.4524202777777775
2023-10-09 11:19:13.800000+00:00,42.0,36.7,60.0,0.0,60.2,4380.0,4260.0,255.0,170.0,210.0,105.0,210.0,210.0,210.0,1.0,169.172,116.959,0.5,81880.10093994038,2100.0,6,11,0,19,1,1.0,210.0,105.0,0.2315582148706267,0.152867195624601,7030.942,1.9530394444444448
2024-01-17 09:12:56.587000+00:00,42.0,36.3,60.0,33.0,60.1,4380.0,4500.0,255.0,255.0,215.0,107.0,215.2,215.2,215.0,1.0,123.43,127.404,22.4,29545.652759989283,1454.0,21,9,2,12,1,1.0,215.2,107.0,0.3096673246512877,0.2690973698622226,3369.908,0.9360855555555556
2023-10-02 11:55:21.254000+00:00,45.2,36.7,60.0,27.0,60.0,4260.0,4380.0,255.0,255.0,210.0,106.0,210.1,210.1,210.0,1.0,111.845,92.269,19.1,72055.37515003316,2100.0,5,11,0,55,1,1.0,210.1,106.0,0.1473177080814121,-0.0737477751993785,10947.377,3.040938055555556
2024-01-18 15:05:32.302000+00:00,44.7,38.6,70.0,31.0,70.1,4440.0,4080.0,255.0,255.0,215.0,127.0,213.2,213.2,215.0,1.0,112.278,80.937,1.0,51108.1245300069,11054.364,22,15,3,5,1,1.0,213.22,127.0,0.5000797393963015,1.0243062251049604,21328.597,5.924610277777778
2023-09-28 12:14:54.600000+00:00,44.0,35.4,60.0,42.0,59.9,4380.0,4680.0,255.0,255.0,210.0,106.0,210.7,210.7,210.0,1.0,152.621,79.67,1.4,62558.80742002087,12000.0,4,12,3,14,1,1.0,210.7,106.0,0.2734955312068045,0.1978824843508454,14900.403,4.139000833333333
2023-10-12 11:36:18.512000+00:00,47.7,42.1,90.0,33.0,90.2,4320.0,3240.0,255.0,94.0,243.0,93.0,242.9,242.9,243.0,1.0,101.419,56.291,28.25,108895.54184986575,7069.058,8,11,3,36,1,1.0,242.9,93.0,0.0413032249143863,-0.0437500163688504,12231.922,3.397756111111111
2023-10-09 10:05:21.960000+00:00,42.5,35.1,60.0,35.0,60.0,4320.0,4440.0,255.0,255.0,210.0,127.0,209.1,209.1,210.0,1.0,139.828,105.99,1.1,78731.72009000587,2100.0,6,10,0,5,1,1.0,209.1,127.0,0.2078790834641934,0.7691771960670165,2599.102,0.7219727777777777
2023-10-12 11:40:38.897000+00:00,47.8,41.6,90.0,85.0,90.0,4380.0,3420.0,255.0,104.0,243.0,127.0,241.0,241.0,243.0,1.0,101.77,54.112,29.3,109077.10452986494,7551.301,8,11,3,40,1,1.0,241.0,127.0,-0.2136936082782544,1.8826109788647964,12492.307,3.4700852777777778
2023-10-18 10:04:03.661000+00:00,42.7,32.5,60.0,57.0,59.9,4260.0,4500.0,255.0,255.0,210.0,125.0,209.2,209.2,210.0,1.0,161.554,64.872,18.65,120822.49561984312,2100.0,9,10,2,4,1,1.0,209.2,125.0,0.1261161368615046,0.8426027664100427,7343.163,2.0397675
2023-11-20 15:05:46.285000+00:00,45.2,44.6,90.0,88.0,89.9,4380.0,2940.0,255.0,76.0,243.0,86.0,243.0,243.0,243.0,1.0,190.881,82.577,25.2,183782.8802897756,5895.652,13,15,0,5,1,1.0,243.0,86.0,0.2496754936903613,0.384298815273291,11185.752,3.1071533333333337
2023-11-22 10:29:23.186000+00:00,41.6,39.2,90.0,53.0,90.0,4260.0,2940.0,255.0,76.0,243.0,112.0,242.0,242.0,243.0,1.0,83.727,54.161,7.2,198393.1773097887,5895.652,14,10,2,29,1,1.0,242.0,112.0,0.0956782902601821,0.993043098208728,6864.195,1.9067208333333328
2023-11-28 08:01:19.983000+00:00,40.2,46.8,90.0,33.0,90.3,4440.0,0.0,255.0,0.0,243.0,32.0,243.3,243.3,243.0,1.0,129.64,81.935,0.6,255677.2345496176,8640.0,16,8,1,1,1,1.0,243.3,32.0,0.2212494420966179,-1.5736730197278264,2131.349,0.5920413888888889
2023-11-22 11:29:29.200000+00:00,41.2,37.4,90.0,80.0,90.0,4320.0,2760.0,255.0,76.0,243.0,82.0,243.2,243.2,243.0,1.0,183.832,84.018,10.0,205390.11782978944,3000.0,14,11,2,29,1,1.0,243.36,84.8,0.1409315787742431,-0.323866458154395,10470.209,2.908391388888889
2023-11-22 11:39:15.234000+00:00,41.1,38.2,90.0,59.0,90.0,4260.0,2820.0,255.0,76.0,243.0,81.0,243.8,243.8,243.0,1.0,159.992,106.327,11.2,206263.87506979072,5880.912,14,11,2,39,1,1.0,243.8,81.0,0.1635582230312746,-0.3677634433664991,11056.243,3.0711786111111112
2023-11-29 12:51:41.291000+00:00,43.0,46.6,90.0,63.0,90.0,4380.0,3060.0,255.0,76.0,243.0,95.0,242.1,242.1,243.0,1.0,125.845,145.457,17.6,276475.0261406505,10800.0,17,12,2,51,1,1.0,242.1,95.0,0.0643501722022308,0.7345384523482583,12549.586,3.485996111111111
2023-11-14 12:35:51.879000+00:00,42.0,35.0,60.0,30.0,60.0,4320.0,4320.0,255.0,255.0,210.0,113.0,209.5,209.5,210.0,1.0,158.185,121.681,20.3,148937.72442984625,12000.0,11,12,1,35,1,1.0,209.5,113.0,0.1805216129356165,0.4167130594704799,9864.191,2.740053055555556
