timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint
2023-11-28 10:53:55.098000+00:00,43.0,45.4,90.0,71.0,89.9,4380.0,2880.0,255.0,76.0,243.0,88.0,242.9,242.9,243.0,1.0,128.094,118.438,4.8,261809.46643954367,10800.0
2024-01-18 09:16:06.542000+00:00,34.3,36.6,60.0,49.0,59.7,4320.0,3060.0,255.0,84.0,215.0,103.0,211.6,211.6,215.0,1.0,129.941,108.409,0.4,35968.809889988064,8275.634
2023-11-29 13:08:02.842000+00:00,42.7,46.8,90.0,72.0,89.9,4320.0,2940.0,255.0,76.0,243.0,81.0,242.7,242.7,243.0,1.0,184.174,153.397,19.2,277131.25513073604,2400.0
2023-11-27 14:50:43.214000+00:00,42.9,44.8,90.0,84.0,89.8,4320.0,2940.0,255.0,76.0,243.0,72.0,243.8,243.8,243.0,1.0,77.5,132.763,12.0,253884.1183796286,2100.0
2023-10-12 09:15:45.938000+00:00,45.3,47.3,90.0,79.0,89.9,4380.0,3060.0,255.0,76.0,243.0,83.0,243.8,243.8,243.0,1.0,135.538,138.33,5.75,101328.48797988764,7658.989
2023-10-12 12:51:31.800000+00:00,47.9,40.2,90.0,64.0,90.0,4260.0,3540.0,255.0,124.0,243.0,96.0,243.2,243.2,243.0,1.0,122.682,67.071,48.147,111948.71678983967,2587.0
2023-10-18 11:04:59.304000+00:00,43.0,31.9,60.0,48.0,59.9,4260.0,4320.0,255.0,255.0,210.0,127.0,208.3,208.3,210.0,1.0,164.743,80.6,30.5,123331.29401985915,1500.0
2023-11-28 09:54:38.452000+00:00,42.6,45.5,90.0,58.0,89.9,4320.0,2940.0,255.0,76.0,243.0,91.0,242.7,242.7,243.0,1.0,152.293,116.223,1.6,259527.80625957428,5895.652
2023-11-14 11:55:24.600000+00:00,42.2,35.6,60.0,46.0,59.9,4320.0,4620.0,255.0,255.0,210.0,99.0,210.3,210.3,210.0,1.0,105.956,91.847,11.9,147311.56684986546,12000.0
2023-11-06 12:46:13.468000+00:00,40.6,37.8,60.0,0.0,60.2,4380.0,3180.0,255.0,84.0,215.0,91.0,214.7,214.7,215.0,1.0,43.43,91.791,0.4,134495.50800989565,10988.018
